path,level_time,spike_time,objective_text
# Squish enemy
res://scenes/levels/test_rounds/three_three_three_level.tscn,15.0,0,Jump on top of the enemy
# Medium gap, small landing platform
res://scenes/levels/test_rounds/three_four_five_level.tscn,30.0,225,Jump over the gap and hit the bell
# 7-jump
res://scenes/levels/test_rounds/four_four_five_level.tscn,30.0,0,Jump down to hit the bell
# Collect power-up: Star
res://scenes/levels/test_rounds/two_three_two_level.tscn,15.0,0,Collect the bell
# Squish enemy
res://scenes/levels/test_rounds/three_three_three_level.tscn,15.0,225,Jump on top of the enemy
# 7-jump
res://scenes/levels/test_rounds/four_four_five_level.tscn,30.0,225,Jump down to hit the bell
# Medium gap, small landing platform
res://scenes/levels/test_rounds/three_four_five_level.tscn,30.0,0,Jump over the gap and hit the bell
# Collect power-up: Star
res://scenes/levels/test_rounds/two_three_two_level.tscn,15.0,225,Collect the bell

